"acceptedScientificName","V2","isMarine","isFreshwater","isTerrestrial","isBrackish"
"Asymphorodes trigrapha Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Ischnura thelmae Lieftinck, 1966","Catalogue of Life Checklist",NA,NA,1,NA
"Puffinus bailloni (Bonaparte, 1857)","Catalogue of Life Checklist",NA,NA,1,NA
"Todiramphus godeffroyi (Finsch, 1877)","Catalogue of Life Checklist",NA,NA,1,NA
"Pomarea whitneyi Murphy & Mathews, 1928","Catalogue of Life Checklist",NA,NA,1,NA
"Acrocephalus rimitarae (Murphy & Mathews, 1929)","Catalogue of Life Checklist",NA,NA,1,NA
"Pomarea mendozae (Hartlaub, 1854)","Catalogue of Life Checklist",NA,NA,1,NA
"Cryptoblabes plagioleuca Turner, 1904","Catalogue of Life Checklist",NA,NA,1,NA
"Cnaphalocrocis hemicrossa Meyrick, 1887","Catalogue of Life Checklist",NA,NA,1,NA
"Tatobotys biannulalis (Walker)","Catalogue of Life Checklist",NA,NA,1,NA
"Omiodes diemenalis (Guen̩e, 1854)","Catalogue of Life Checklist",NA,NA,1,NA
"Nesoscopa exsors Meyrick, 1926","Catalogue of Life Checklist",NA,NA,1,NA
"Pyroderces incertulella (Walker, 1864)","Catalogue of Life Checklist",NA,NA,1,NA
"Bradina perlucidalis Hampson, 1897","Catalogue of Life Checklist",NA,NA,1,NA
"Anticarsia irrorata (Fabricius, 1781)","Catalogue of Life Checklist",NA,NA,1,NA
"Imma assita Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Glyphodes phormingopa Meyrick, 1935","Catalogue of Life Checklist",NA,NA,1,NA
"Choreutis catapsesta (Meyrick, 1935)","Catalogue of Life Checklist",NA,NA,1,NA
"Agrius convolvuli Linnaeus, 1758","Catalogue of Life Checklist",NA,NA,1,NA
"Strepsicrates thyellopis (Meyrick, 1926)","Catalogue of Life Checklist",NA,NA,1,NA
"Euploea lewinii C.Felder & R.Felder","GBIF Backbone Taxonomy",NA,NA,1,NA
"Scoparia tivira Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Cleora dodonaeae Prout, 1929","Catalogue of Life Checklist",NA,NA,1,NA
"Bradina fidelia Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Stagmatophora cyma Bradley, 1953","Catalogue of Life Checklist",NA,NA,1,NA
"Pampusana erythroptera (J.F.Gmelin, 1789)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Puffinus myrtae Bourne, 1959","GBIF Backbone Taxonomy",1,NA,1,NA
"Acrocephalus mendanae Tristram, 1883","Catalogue of Life Checklist",NA,NA,1,NA
"Pampusana rubescens (Vieillot, 1818)","Catalogue of Life Checklist",NA,NA,1,NA
"Vanellus miles (Boddaert, 1783)","Catalogue of Life Checklist",NA,NA,1,NA
